,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fighter_name,Height,Weight,Reach,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch
54,54,180,180,Ryan Bader,6' 2,205.,6' 2,"Jun 07, 1983",2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,0,1,0,0
55,55,183,183,Siyar Bahadurzada,5' 11,170.,5' 11,"Apr 17, 1984",2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,0,1,0,0
56,56,192,192,Humberto Bandenay,5' 11,145.,5' 11,"Sep 04, 1994",2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5,0,0,1,0
57,57,193,193,Tae Hyun Bang,5' 9,155.,5' 9,"Apr 15, 1983",2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,0,0,0,1
58,58,194,194,Maycee Barber,5' 5,125.,5' 5,"May 18, 1998",5.21,0.52,3.0,0.5,1.44,0.4,0.8,0.2,0,0,0,1
59,59,197,197,Antonio Banuelos,5' 5,135.,5' 5,"Sep 23, 1979",2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,0,1,0,0
60,60,198,198,Bryan Barberena,6' 0,170.,6' 0,"May 03, 1989",5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5,0,0,1,0
61,61,199,199,Renan Barao,5' 6,145.,5' 6,"Jan 31, 1987",3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,0,1,0,0
62,62,200,200,Edson Barboza,5' 11,145.,5' 11,"Jan 21, 1986",3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1,0,1,0,0
63,63,203,203,Raoni Barcelos,5' 7,135.,5' 7,"May 01, 1987",5.59,0.52,4.17,0.67,2.23,0.56,0.85,0.7,0,1,0,0
64,64,204,204,Luke Barnatt,6' 6,185.,6' 6,"Apr 13, 1988",4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,0,1,0,0
65,65,207,207,Phil Baroni,5' 9,170.,5' 9,"Apr 16, 1976",2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5,0,1,0,0
66,66,208,208,Josh Barnett,6' 3,250.,6' 3,"Nov 10, 1977",3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,0,1,0,0
67,67,219,219,Enrique Barzola,5' 7,145.,5' 7,"Apr 28, 1989",3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3,0,1,0,0
68,68,229,229,Chris Beal,5' 7,125.,5' 7,"Aug 06, 1985",3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2,0,1,0,0
69,69,236,236,Chase Beebe,5' 7,135.,5' 7,"Mar 29, 1985",2.17,0.38,1.64,0.69,2.49,0.42,0.41,0.9,0,1,0,0
70,70,238,238,Mirsad Bektic,5' 8,145.,5' 8,"Feb 16, 1991",2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4,0,1,0,0
71,71,240,240,Alan Belcher,6' 2,185.,6' 2,"Apr 24, 1984",2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,0,1,0,0
72,72,242,242,Vitor Belfort,6' 0,185.,6' 0,"Apr 01, 1977",1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6,0,0,1,0
73,73,244,244,Marco Beltran,5' 8,125.,5' 8,"May 18, 1986",2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2,0,1,0,0
74,74,246,246,Joseph Benavidez,5' 4,125.,5' 4,"Jul 31, 1984",3.52,0.34,2.67,0.61,1.41,0.3,0.62,0.6,0,0,1,0
75,75,249,249,Gabriel Benitez,5' 8,155.,5' 8,"Jun 15, 1988",4.38,0.38,3.26,0.7,0.17,0.5,0.56,1.2,0,0,1,0
76,76,256,256,Ryan Benoit,5' 5,125.,5' 5,"Aug 25, 1989",2.95,0.41,3.4,0.6,0.33,0.25,0.7,0.5,0,1,0,0
77,77,262,262,Dennis Bermudez,5' 6,155.,5' 6,"Dec 13, 1986",4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1,0,1,0,0
78,78,264,264,Talita Bernardo,5' 4,135.,5' 4,"Mar 04, 1987",3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5,0,1,0,0
79,79,265,265,Manny Bermudez,5' 10,145.,5' 10,"Jul 16, 1994",2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1,0,1,0,0
80,80,272,272,Matt Bessette,5' 10,145.,5' 10,"Dec 28, 1984",4.36,0.41,4.45,0.58,0.64,0.28,0.61,0.3,0,1,0,0
81,81,285,285,Michael Bisping,6' 1,185.,6' 1,"Feb 28, 1979",4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,0,1,0,0
82,82,286,286,Jan Blachowicz,6' 2,205.,6' 2,"Feb 24, 1983",3.59,0.49,2.79,0.53,1.18,0.53,0.65,0.2,0,1,0,0
83,83,289,289,Brad Blackburn,5' 10,170.,5' 10,"May 25, 1977",4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,0,1,0,0
84,84,291,291,Maximo Blanco,5' 8,145.,5' 8,"Oct 16, 1983",4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3,0,1,0,0
85,85,300,300,Mark Bocek,5' 8,155.,5' 8,"Oct 24, 1981",2.34,0.43,2.32,0.6,3.65,0.36,0.31,1.3,0,1,0,0
86,86,305,305,Tim Boetsch,6' 0,185.,6' 0,"Jan 28, 1981",2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8,0,1,0,0
87,87,316,316,Rogerio Bontorin,5' 5,125.,5' 5,"Apr 25, 1992",2.19,0.5,3.12,0.38,1.9,0.4,0.51,1.6,0,1,0,0
88,88,317,317,Stephan Bonnar,6' 4,205.,6' 4,"Apr 04, 1977",2.76,0.38,3.01,0.52,1.32,0.4,0.6,1.0,0,1,0,0
89,89,318,318,Ray Borg,5' 4,135.,5' 4,"Aug 04, 1993",1.52,0.52,1.93,0.48,3.89,0.5,0.46,1.0,0,1,0,0
90,90,336,336,Brian Bowles,5' 7,135.,5' 7,"Jun 22, 1980",2.36,0.26,2.98,0.64,1.39,0.7,0.54,1.4,0,1,0,0
91,91,337,337,Roger Bowling,5' 9,155.,5' 9,"Dec 05, 1982",3.9,0.47,3.86,0.51,3.09,0.43,0.27,0.9,0,1,0,0
92,92,342,342,Sean Brady,5' 10,170.,5' 10,"Nov 23, 1992",4.72,0.55,3.6,0.63,2.69,0.6,1.0,1.2,0,1,0,0
93,93,349,349,Diego Brandao,5' 7,145.,5' 7,"May 27, 1987",2.94,0.47,3.38,0.62,3.21,0.68,0.8,0.6,0,1,0,0
94,94,357,357,Jason Brilz,5' 11,205.,5' 11,"Jul 07, 1975",2.66,0.4,1.78,0.65,2.37,0.25,0.25,1.3,0,1,0,0
95,95,365,365,Jonathan Brookins,6' 0,145.,6' 0,"Aug 13, 1985",2.69,0.39,3.63,0.56,1.94,0.17,0.8,0.3,0,0,1,0
96,96,366,366,Will Brooks,5' 10,155.,5' 10,"Oct 08, 1986",4.26,0.59,2.54,0.56,2.08,0.51,0.82,0.3,0,1,0,0
97,97,367,367,Jarred Brooks,5' 3,125.,5' 3,"May 02, 1993",2.12,0.46,1.66,0.62,4.54,0.57,0.69,0.6,0,0,0,1
98,98,371,371,Mike Brown,5' 6,145.,5' 6,"Sep 08, 1975",2.98,0.44,2.45,0.6,3.23,0.4,0.66,0.6,0,1,0,0
99,99,374,374,Matt Brown,6' 0,170.,6' 0,"Jan 10, 1981",3.69,0.54,2.67,0.55,1.56,0.44,0.63,1.4,0,1,0,0
100,100,376,376,TJ Brown,5' 9,145.,5' 9,"May 22, 1990",3.22,0.42,2.21,0.5,4.92,0.6,0.4,0.4,0,0,0,1
101,101,377,377,Damien Brown,5' 10,155.,5' 10,"Dec 25, 1984",3.66,0.38,4.86,0.5,0.68,0.27,0.53,0.7,0,1,0,0
102,102,378,378,Randy Brown,6' 3,170.,6' 3,"Jul 08, 1990",3.67,0.47,2.8,0.53,1.0,0.46,0.71,0.6,0,1,0,0
103,103,381,381,Travis Browne,6' 6,255.,6' 6,"Jul 17, 1982",2.93,0.41,4.31,0.42,1.21,0.68,0.75,0.2,0,1,0,0
104,104,388,388,Derek Brunson,6' 1,185.,6' 1,"Jan 04, 1984",3.46,0.47,2.72,0.53,3.11,0.33,0.94,0.5,0,0,1,0
105,105,399,399,Paul Buentello,6' 2,245.,6' 2,"Jan 16, 1974",3.29,0.45,3.83,0.52,0.19,0.33,0.39,0.4,0,1,0,0
106,106,404,404,Wuliji Buren,5' 9,135.,5' 9,"Mar 01, 1989",1.63,0.42,2.96,0.56,3.38,0.42,0.71,0.4,0,1,0,0
107,107,405,405,Shane Burgos,5' 11,145.,5' 11,"Mar 19, 1991",7.31,0.5,5.81,0.6,0.3,1.0,0.89,0.1,0,1,0,0
108,108,406,406,Joshua Burkman,5' 10,170.,5' 10,"Apr 10, 1980",2.69,0.43,3.13,0.51,2.53,0.36,0.72,0.3,0,1,0,0
109,109,407,407,Mads Burnell,5' 8,145.,5' 8,"Mar 06, 1994",1.28,0.41,2.71,0.51,3.45,0.47,0.22,0.4,0,1,0,0
110,110,410,410,Kevin Burns,5' 10,170.,5' 10,"Mar 03, 1980",2.74,0.38,4.3,0.52,0.28,0.5,0.47,0.8,0,1,0,0
111,111,411,411,Herbert Burns,5' 9,145.,5' 9,"Feb 02, 1988",1.67,0.45,5.02,0.33,4.64,0.83,0.75,2.8,0,1,0,0
112,112,412,412,Gilbert Burns,5' 10,170.,5' 10,"Jul 20, 1986",3.22,0.45,3.04,0.54,2.08,0.35,0.5,0.7,0,1,0,0
113,113,427,427,JP Buys,5' 5,125.,5' 5,"Apr 30, 1996",2.66,0.45,3.05,0.43,2.22,0.5,0.33,2.2,0,1,0,0
114,114,428,428,Dennis Buzukja,5' 9,145.,5' 9,"Oct 01, 1997",3.8,0.46,6.8,0.35,2.0,0.25,1.0,1.0,0,0,0,1
115,115,429,429,Charles Byrd,5' 10,185.,5' 10,"Oct 11, 1983",3.43,0.55,2.63,0.55,2.5,0.5,0.4,1.5,0,1,0,0
116,116,433,433,Yan Cabral,5' 11,155.,5' 11,"May 13, 1983",2.02,0.47,1.98,0.62,2.89,0.35,0.37,1.2,0,1,0,0
117,117,434,434,Alex Caceres,5' 10,145.,5' 10,"Jun 20, 1988",4.1,0.5,2.82,0.65,0.57,0.78,0.64,0.8,0,0,1,0
118,118,440,440,Joanne Calderwood,5' 6,125.,5' 6,"Dec 23, 1985",6.59,0.49,4.4,0.53,1.8,0.55,0.58,0.5,0,1,0,0
119,119,443,443,Cynthia Calvillo,5' 4,125.,5' 4,"Jul 13, 1987",4.18,0.41,3.52,0.67,1.85,0.44,0.71,1.1,0,1,0,0
120,120,445,445,Fabricio Camoes,5' 10,155.,5' 10,"Dec 23, 1978",1.29,0.33,1.85,0.61,2.34,0.32,0.2,1.5,0,1,0,0
121,121,446,446,Chris Camozzi,6' 2,185.,6' 2,"Nov 20, 1986",3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5,0,1,0,0
122,122,454,454,Will Campuzano,5' 9,125.,5' 9,"May 27, 1986",2.43,0.31,3.82,0.57,0.88,0.45,0.48,0.2,0,1,0,0
123,123,455,455,Chico Camus,5' 6,125.,5' 6,"Jan 26, 1985",2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4,0,1,0,0
124,124,460,460,Guido Cannetti,5' 6,135.,5' 6,"Dec 19, 1979",2.85,0.51,2.17,0.5,2.64,0.5,0.75,0.3,0,0,1,0
125,125,461,461,Luiz Cane,6' 2,185.,6' 2,"Apr 24, 1981",4.79,0.41,5.0,0.6,0.56,0.28,1.0,0.3,0,0,1,0
126,126,466,466,Phil Caracappa,5' 8,135.,5' 8,"Jun 05, 1992",2.93,0.5,4.07,0.29,1.0,0.08,1.0,1.0,0,1,0,0
127,127,467,467,Steve Cantwell,6' 2,185.,6' 2,"Dec 08, 1986",3.63,0.34,5.76,0.55,0.65,0.3,0.8,0.7,0,1,0,0
128,128,473,473,Bryan Caraway,5' 8,135.,5' 8,"Aug 04, 1984",2.53,0.34,3.61,0.54,2.57,0.25,0.8,0.8,0,1,0,0
129,129,475,475,Chris Cariaso,5' 3,125.,5' 3,"May 27, 1981",3.35,0.43,2.23,0.61,1.11,0.39,0.57,0.8,0,0,1,0
130,130,479,479,Antonio Carlos Junior,6' 2,185.,6' 2,"Mar 16, 1990",1.95,0.42,2.14,0.52,3.42,0.39,0.53,0.8,0,1,0,0
131,131,480,480,Spike Carlyle,5' 8,145.,5' 8,"May 06, 1993",2.55,0.54,3.85,0.3,3.34,0.36,0.57,0.5,0,0,0,1
132,132,481,481,Francis Carmont,6' 3,205.,6' 3,"Oct 11, 1981",2.22,0.42,1.64,0.59,1.79,0.36,0.73,0.6,0,1,0,0
133,133,482,482,Liz Carmouche,5' 6,125.,5' 6,"Feb 19, 1984",2.78,0.54,2.51,0.61,2.57,0.51,0.65,0.3,0,1,0,0
134,134,484,484,Roan Carneiro,5' 11,170.,5' 11,"Jun 02, 1978",1.46,0.46,1.82,0.62,3.05,0.42,0.83,1.4,0,1,0,0
135,135,498,498,Johnny Case,5' 10,155.,5' 10,"Jun 28, 1989",3.95,0.38,2.66,0.61,1.7,0.45,0.72,0.2,0,1,0,0
136,136,499,499,Kevin Casey,5' 11,185.,5' 11,"Jun 15, 1981",2.27,0.53,3.76,0.46,0.79,0.22,0.27,0.4,0,0,1,0
137,137,500,500,Cortney Casey,5' 7,125.,5' 7,"May 05, 1987",4.33,0.38,4.19,0.52,0.28,0.27,0.38,0.6,0,1,0,0
138,138,511,511,Danny Castillo,5' 9,155.,5' 9,"Aug 25, 1979",2.57,0.42,1.96,0.62,2.95,0.38,0.63,0.2,0,1,0,0
139,139,512,512,Nick Catone,6' 0,185.,6' 0,"Sep 01, 1981",2.11,0.44,2.32,0.63,3.71,0.44,0.83,0.5,0,0,1,0
140,140,514,514,Gesias Cavalcante,5' 8,155.,5' 8,"Jul 06, 1983",1.98,0.35,3.11,0.51,1.25,0.36,0.66,1.1,0,1,0,0
141,141,515,515,Rafael Cavalcante,6' 1,205.,6' 1,"Apr 14, 1980",2.71,0.53,3.62,0.49,0.6,0.4,0.63,0.1,0,1,0,0
142,142,517,517,Henry Cejudo,5' 4,135.,5' 4,"Feb 09, 1987",3.92,0.45,2.77,0.65,2.12,0.33,0.93,0.2,0,1,0,0
143,143,519,519,Magnus Cedenblad,6' 5,185.,6' 5,"Apr 10, 1982",2.38,0.51,3.02,0.4,2.87,0.64,0.66,1.0,0,1,0,0
144,144,521,521,Luan Chagas,6' 0,170.,6' 0,"Jun 17, 1993",4.16,0.47,3.19,0.62,0.32,0.12,0.85,0.3,0,1,0,0
145,145,522,522,Donald Cerrone,6' 1,155.,6' 1,"Mar 29, 1983",4.43,0.46,4.46,0.53,1.19,0.33,0.73,1.2,0,1,0,0
146,146,525,525,Alex Chambers,5' 3,115.,5' 3,"Oct 25, 1978",2.97,0.54,5.1,0.5,2.31,0.41,0.53,1.0,0,0,1,0
147,147,527,527,Michael Chandler,5' 8,155.,5' 8,"Apr 24, 1986",4.29,0.49,3.76,0.52,2.37,0.41,0.8,1.4,0,1,0,0
148,148,537,537,Macy Chiasson,5' 11,135.,5' 11,"Jul 27, 1991",4.16,0.49,2.17,0.46,0.98,0.21,0.64,0.5,0,1,0,0
149,149,539,539,Michael Chiesa,6' 1,170.,6' 1,"Dec 07, 1987",1.89,0.4,1.71,0.54,3.6,0.52,0.68,0.9,0,0,1,0
150,150,540,540,Khamzat Chimaev,6' 2,170.,6' 2,"May 01, 1994",9.03,0.72,0.1,0.66,4.67,0.75,0.0,3.1,0,1,0,0
151,151,546,546,John Cholish,5' 11,155.,5' 11,"Dec 17, 1983",2.65,0.49,2.29,0.73,1.82,0.31,0.78,0.4,0,1,0,0
152,152,550,550,Ryo Chonan,5' 9,170.,5' 9,"Oct 08, 1976",2.57,0.43,2.25,0.6,0.61,0.41,0.39,0.3,0,1,0,0
153,153,552,552,Katlyn Chookagian,5' 9,125.,5' 9,"Dec 28, 1988",4.22,0.34,4.23,0.63,0.27,0.15,0.51,0.5,0,1,0,0
154,154,559,559,Hannah Cifers,5' 1,115.,5' 1,"Jun 26, 1992",4.99,0.44,5.39,0.52,0.26,1.0,0.64,0.3,0,1,0,0
155,155,560,560,Misha Cirkunov,6' 3,205.,6' 3,"Feb 27, 1987",4.18,0.51,3.22,0.6,4.28,0.57,0.71,2.3,0,1,0,0
156,156,566,566,Devin Clark,6' 0,205.,6' 0,"Apr 12, 1990",3.33,0.57,2.43,0.48,2.7,0.36,0.76,0.1,0,1,0,0
157,157,567,567,Jessica-Rose Clark,5' 5,125.,5' 5,"Nov 28, 1987",4.68,0.51,3.98,0.6,1.01,0.55,0.73,0.4,0,1,0,0
158,158,568,568,Heather Clark,5' 6,115.,5' 6,"Sep 19, 1980",3.69,0.49,5.62,0.5,0.33,0.04,0.8,0.3,0,1,0,0
159,159,570,570,Rich Clementi,5' 9,155.,5' 9,"Mar 31, 1976",1.43,0.37,2.29,0.6,1.72,0.42,0.25,1.1,0,0,1,0
160,160,572,572,Mitch Clarke,5' 10,155.,5' 10,"Nov 24, 1985",2.35,0.34,3.27,0.47,0.64,0.15,0.5,0.4,0,1,0,0
161,161,580,580,Marloes Coenen,5' 9,145.,5' 9,"Mar 31, 1981",2.15,0.51,1.9,0.67,0.82,0.3,0.41,2.5,0,0,0,0
162,162,582,582,Felipe Colares,5' 8,135.,5' 8,"Mar 31, 1994",1.13,0.42,3.0,0.32,2.0,0.25,0.34,1.0,0,1,0,0
163,163,589,589,Mark Coleman,6' 1,205.,6' 1,"Dec 20, 1964",1.88,0.52,2.62,0.4,3.89,0.4,0.5,0.8,0,1,0,0
164,164,590,590,Clay Collard,5' 11,145.,5' 11,"Mar 10, 1993",4.22,0.32,5.0,0.5,2.81,0.39,0.71,0.5,0,1,0,0
165,165,591,591,Jamie Colleen,5' 3,115.,5' 3,"Nov 02, 1985",3.11,0.61,5.66,0.33,0.52,0.33,0.5,1.6,0,1,0,0
166,166,592,592,Jake Collier,6' 3,230.,6' 3,"Oct 25, 1988",4.92,0.41,4.09,0.53,0.57,0.23,0.67,0.4,0,1,0,0
167,167,595,595,Carlos Condit,6' 2,170.,6' 2,"Apr 26, 1984",3.63,0.39,2.49,0.56,0.62,0.54,0.39,1.0,0,1,0,0
168,168,596,596,Montserrat Conejo,5' 0,115.,5' 0,"Feb 03, 1993",1.0,0.36,2.07,0.52,4.0,0.8,0.0,2.0,0,0,1,0
169,169,611,611,Amanda Cooper,5' 3,115.,5' 3,"Oct 22, 1991",3.55,0.44,3.2,0.51,1.53,0.38,0.28,1.8,0,0,0,1
